
Searching for Barrier location candidates around N = 69098 ...

60000083942.5000000000000000000, 0.5631223953, 0.9479021030, 1.454069569, 0.8038354082, 0.8383081589, 0.8519838171, 
60000083943.5000000000000000000, 1.454069569, 1.242979618, 0.5664610631, 0.8519838171, 0.7955388514, 0.6943127761, 
60000083944.5000000000000000000, 0.5664610631, 0.2706835146, 0.2973573622, 0.6943127761, 0.6209616402, 0.6178926736, 
60000083945.5000000000000000000, 0.2973573622, 0.6833912713, 1.389745950, 0.6178926736, 0.6726599523, 0.7199668833, 
60000083946.5000000000000000000, 1.389745950, 1.235707467, 0.5298974524, 0.7199668833, 0.6886717051, 0.5910132805, 
60000083947.5000000000000000000, 0.5298974524, 0.1967463786, 0.1279662820, 0.5910132805, 0.5035904064, 0.4819162348, 
60000083948.5000000000000000000, 0.1279662820, 0.2039340375, 0.4783248140, 0.4819162348, 0.5486000169, 0.7163674219, 
60000083949.5000000000000000000, 0.4783248140, 0.8544089574, 1.261905414, 0.7163674219, 1.000673061, 1.448850500, 
60000083950.5000000000000000000, 1.261905414, 2.336362542, 6.931279449, 1.448850500, 2.178489255, 3.314224641, 
60000083951.5000000000000000000, 6.931279449, 27.63745573, 53.62692475, 3.314224641, 4.616231586, 5.102867652, 
60000083952.5000000000000000000, 53.62692475, 23.65237786, 4.573058363, 5.102867652, 4.168947176, 2.724139046, 
60000083953.5000000000000000000, 4.573058363, 0.9870403643, 0.4449969702, 2.724139046, 1.695060607, 1.171685032, 
60000083954.5000000000000000000, 0.4449969702, 0.5101476230, 0.7372998038, 1.171685032, 0.9472179052, 0.8499393623, 
60000083955.5000000000000000000, 0.7372998038, 0.6692519271, 0.4857840579, 0.8499393623, 0.7890055535, 0.7485141287, 
60000083956.5000000000000000000, 0.4857840579, 0.5129402596, 0.7749297930, 0.7485141287, 0.7426607391, 0.7635499947, 
60000083957.5000000000000000000, 0.7749297930, 1.091855255, 1.139725772, 0.7635499947, 0.7709602697, 0.7234972887, 
60000083958.5000000000000000000, 1.139725772, 0.5867373641, 0.2194021331, 0.7234972887, 0.6291930751, 0.5508656455, 
60000083959.5000000000000000000, 0.2194021331, 0.1637813715, 0.3968010281, 0.5508656455, 0.5458115015, 0.6322847651, 
60000083960.5000000000000000000, 0.3968010281, 1.612036827, 2.620493080, 0.6322847651, 0.7670672791, 0.8264191586, 
60000083961.5000000000000000000, 2.620493080, 1.085532608, 0.2847180464, 0.8264191586, 0.7461498095, 0.6289157839, 
60000083962.5000000000000000000, 0.2847180464, 0.1463947126, 0.2558826545, 0.6289157839, 0.5889000860, 0.6719051090, 
