
Searching for Barrier location candidates around N = 69098 ...

60000083940.5000000000000000000, 0.8987141717, 1.112265739, 1.225408422, 0.9260816022, 0.9438850232, 0.9352029375, 
60000083941.5000000000000000000, 1.225408422, 1.015068068, 0.7498518752, 0.9352029375, 0.8894968828, 0.8264408270, 
60000083942.5000000000000000000, 0.7498518752, 0.6177275387, 0.6071392985, 0.8264408270, 0.7744280497, 0.7465594169, 
60000083943.5000000000000000000, 0.6071392985, 0.6734060451, 0.7300516899, 0.7465594169, 0.7383304392, 0.7366132633, 
60000083944.5000000000000000000, 0.7300516899, 0.7458311984, 0.7486507037, 0.7366132633, 0.7298234227, 0.7113054571, 
60000083945.5000000000000000000, 0.7486507037, 0.6923834583, 0.6007450110, 0.7113054571, 0.6783576699, 0.6335908183, 
60000083946.5000000000000000000, 0.6007450110, 0.4901374789, 0.3688029092, 0.6335908183, 0.5845126966, 0.5425251039, 
60000083947.5000000000000000000, 0.3688029092, 0.2912530181, 0.2670197586, 0.5425251039, 0.5214443691, 0.5347269856, 
60000083948.5000000000000000000, 0.2670197586, 0.2927052415, 0.3873252564, 0.5347269856, 0.5975737799, 0.7349667618, 
60000083949.5000000000000000000, 0.3873252564, 0.6256203624, 1.252538184, 0.7349667618, 0.9933304139, 1.452025420, 
60000083950.5000000000000000000, 1.252538184, 3.123721533, 9.026624276, 1.452025420, 2.210132207, 3.269553771, 
60000083951.5000000000000000000, 9.026624276, 21.86003335, 26.21232005, 3.269553771, 4.276853158, 4.559431977, 
60000083952.5000000000000000000, 26.21232005, 14.25161432, 5.312329902, 4.559431977, 3.900151862, 2.845189591, 
60000083953.5000000000000000000, 5.312329902, 2.076690534, 0.9973923561, 2.845189591, 1.945745594, 1.352187808, 
60000083954.5000000000000000000, 0.9973923561, 0.5998773868, 0.4466442111, 1.352187808, 1.003110790, 0.8122223991, 
60000083955.5000000000000000000, 0.4466442111, 0.4065730922, 0.4450908051, 0.8122223991, 0.7200602234, 0.6905641065, 
60000083956.5000000000000000000, 0.4450908051, 0.5552393088, 0.6886383166, 0.6905641065, 0.6984672884, 0.7210548237, 
60000083957.5000000000000000000, 0.6886383166, 0.7739763444, 0.8028921418, 0.7210548237, 0.7387254851, 0.7393711024, 
60000083958.5000000000000000000, 0.8028921418, 0.7514034012, 0.6736829134, 0.7393711024, 0.7199967461, 0.6854340904, 
60000083959.5000000000000000000, 0.6736829134, 0.5758283464, 0.4613894522, 0.6854340904, 0.6444557466, 0.6085784004, 
60000083960.5000000000000000000, 0.4613894522, 0.3962814979, 0.4009370075, 0.6085784004, 0.5907373345, 0.6001615584, 
